image,path,width_px,height_px,pixel_size_nm,pixel_size_nm_height,field_width_um,field_height_um,source,error
A44_10.00kV_0.10nA_28.1nm_500.00ns_048.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_10.00kV_0.10nA_28.1nm_500.00ns_048.tif,6144,4376,28.1033,28.1033,172.6666752,122.9800408,fei:Scan.PixelWidth,
A44_10.00kV_0.10nA_33.7nm_250.00ns_050.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_10.00kV_0.10nA_33.7nm_250.00ns_050.tif,6144,4376,33.724,33.724,207.200256,147.576224,fei:Scan.PixelWidth,
A44_10.00kV_0.10nA_33.7nm_250.00ns_053.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_10.00kV_0.10nA_33.7nm_250.00ns_053.tif,6144,4376,33.724,33.724,207.200256,147.576224,fei:Scan.PixelWidth,
A44_10.00kV_0.20nA_30.7nm_500.00ns_047.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_10.00kV_0.20nA_30.7nm_500.00ns_047.tif,6144,4376,30.6581,30.6581,188.3633664,134.1598456,fei:Scan.PixelWidth,
A44_15.00kV_0.10nA_16.9nm_500.00ns_067.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_15.00kV_0.10nA_16.9nm_500.00ns_067.tif,6144,4376,16.862,16.862,103.600128,73.788112,fei:Scan.PixelWidth,
A44_15.00kV_0.10nA_22.5nm_500.00ns_068.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_15.00kV_0.10nA_22.5nm_500.00ns_068.tif,6144,4376,22.4826,22.4826,138.1330944,98.38385759999998,fei:Scan.PixelWidth,
A44_15.00kV_0.10nA_33.7nm_250.00ns_051.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_15.00kV_0.10nA_33.7nm_250.00ns_051.tif,6144,4376,33.724,33.724,207.200256,147.576224,fei:Scan.PixelWidth,
A44_15.00kV_0.10nA_33.7nm_250.00ns_052.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_15.00kV_0.10nA_33.7nm_250.00ns_052.tif,6144,4376,33.724,33.724,207.200256,147.576224,fei:Scan.PixelWidth,
A44_15.00kV_0.10nA_37.5nm_750.00ns_062.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_15.00kV_0.10nA_37.5nm_750.00ns_062.tif,6144,4376,37.4711,37.4711,230.2224384,163.9735336,fei:Scan.PixelWidth,
A44_15.00kV_0.20nA_45.0nm_250.00ns_060.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_15.00kV_0.20nA_45.0nm_250.00ns_060.tif,6144,4376,44.9653,44.9653,276.2668032,196.7681528,fei:Scan.PixelWidth,
A44_15.00kV_0.20nA_45.0nm_750.00ns_061.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_15.00kV_0.20nA_45.0nm_750.00ns_061.tif,6144,4376,44.9653,44.9653,276.2668032,196.7681528,fei:Scan.PixelWidth,
A44_15.00kV_0.40nA_45.0nm_250.00ns_059.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_15.00kV_0.40nA_45.0nm_250.00ns_059.tif,6144,4376,44.9653,44.9653,276.2668032,196.7681528,fei:Scan.PixelWidth,
A44_15.00kV_50pA_16.9nm_50.00ns_065.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_15.00kV_50pA_16.9nm_50.00ns_065.tif,6144,4376,16.862,16.862,103.600128,73.788112,fei:Scan.PixelWidth,
A44_15.00kV_50pA_16.9nm_500.00ns_066.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_15.00kV_50pA_16.9nm_500.00ns_066.tif,6144,4376,16.862,16.862,103.600128,73.788112,fei:Scan.PixelWidth,
A44_15.00kV_50pA_37.5nm_50.00ns_064.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_15.00kV_50pA_37.5nm_50.00ns_064.tif,6144,4376,37.4711,37.4711,230.2224384,163.9735336,fei:Scan.PixelWidth,
A44_15.00kV_50pA_37.5nm_750.00ns_063.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_15.00kV_50pA_37.5nm_750.00ns_063.tif,6144,4376,37.4711,37.4711,230.2224384,163.9735336,fei:Scan.PixelWidth,
A44_20.00kV_0.10nA_33.7nm_250.00ns_055.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_20.00kV_0.10nA_33.7nm_250.00ns_055.tif,6144,4376,33.724,33.724,207.200256,147.576224,fei:Scan.PixelWidth,
A44_20.00kV_0.40nA_16.9nm_250.00ns_057.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_20.00kV_0.40nA_16.9nm_250.00ns_057.tif,6144,4376,16.862,16.862,103.600128,73.788112,fei:Scan.PixelWidth,
A44_20.00kV_0.40nA_33.7nm_250.00ns_056.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_20.00kV_0.40nA_33.7nm_250.00ns_056.tif,6144,4376,33.724,33.724,207.200256,147.576224,fei:Scan.PixelWidth,
A44_20.00kV_0.40nA_45.0nm_250.00ns_058.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_20.00kV_0.40nA_45.0nm_250.00ns_058.tif,6144,4376,44.9653,44.9653,276.2668032,196.7681528,fei:Scan.PixelWidth,
A50 - Site 4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A50 - Site 4.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A50 - Site 4.tif' — fall back to measuring the scale bar.
A51 - Site 11.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51 - Site 11.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A51 - Site 11.tif' — fall back to measuring the scale bar.
A51 - Site 19.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51 - Site 19.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A51 - Site 19.tif' — fall back to measuring the scale bar.
A51 - Site 5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51 - Site 5.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A51 - Site 5.tif' — fall back to measuring the scale bar.
A51 - Site 9.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51 - Site 9.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A51 - Site 9.tif' — fall back to measuring the scale bar.
A51_10.00kV_0.10nA_14.4nm_50.00ns_086.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_10.00kV_0.10nA_14.4nm_50.00ns_086.tif,6144,4376,14.3506,14.3506,88.1700864,62.7982256,fei:Scan.PixelWidth,
A51_10.00kV_0.10nA_14.4nm_700.00ns_087.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_10.00kV_0.10nA_14.4nm_700.00ns_087.tif,6144,4376,14.3506,14.3506,88.1700864,62.7982256,fei:Scan.PixelWidth,
A51_10.00kV_0.10nA_42.2nm_50.00ns_085.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_10.00kV_0.10nA_42.2nm_50.00ns_085.tif,6144,4376,42.1549,42.1549,258.9997056,184.4698424,fei:Scan.PixelWidth,
A51_10.00kV_0.20nA_14.4nm_700.00ns_088.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_10.00kV_0.20nA_14.4nm_700.00ns_088.tif,6144,4376,14.3506,14.3506,88.1700864,62.7982256,fei:Scan.PixelWidth,
A51_10.00kV_0.40nA_14.4nm_700.00ns_089.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_10.00kV_0.40nA_14.4nm_700.00ns_089.tif,6144,4376,14.3506,14.3506,88.1700864,62.7982256,fei:Scan.PixelWidth,
A51_10.00kV_0.40nA_42.2nm_400.00ns_082.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_10.00kV_0.40nA_42.2nm_400.00ns_082.tif,6144,4376,42.1549,42.1549,258.9997056,184.4698424,fei:Scan.PixelWidth,
A51_10.00kV_0.40nA_42.2nm_50.00ns_083.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_10.00kV_0.40nA_42.2nm_50.00ns_083.tif,6144,4376,42.1549,42.1549,258.9997056,184.4698424,fei:Scan.PixelWidth,
A51_10.00kV_50pA_42.2nm_50.00ns_084.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_10.00kV_50pA_42.2nm_50.00ns_084.tif,6144,4376,42.1549,42.1549,258.9997056,184.4698424,fei:Scan.PixelWidth,
A51_15.00kV_0.10nA_22.5nm_500.00ns_069.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_15.00kV_0.10nA_22.5nm_500.00ns_069.tif,6144,4376,22.4826,22.4826,138.1330944,98.38385759999998,fei:Scan.PixelWidth,
A51_15.00kV_0.10nA_25.0nm_1.00µs_073.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_15.00kV_0.10nA_25.0nm_1.00µs_073.tif,6144,4376,24.9807,24.9807,153.48142080000002,109.3155432,fei:Scan.PixelWidth,
A51_15.00kV_0.10nA_25.0nm_500.00ns_072.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_15.00kV_0.10nA_25.0nm_500.00ns_072.tif,6144,4376,24.9807,24.9807,153.48142080000002,109.3155432,fei:Scan.PixelWidth,
A51_15.00kV_0.20nA_22.5nm_500.00ns_070.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_15.00kV_0.20nA_22.5nm_500.00ns_070.tif,6144,4376,22.4826,22.4826,138.1330944,98.38385759999998,fei:Scan.PixelWidth,
A51_15.00kV_0.20nA_25.0nm_500.00ns_071.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_15.00kV_0.20nA_25.0nm_500.00ns_071.tif,6144,4376,24.9807,24.9807,153.48142080000002,109.3155432,fei:Scan.PixelWidth,
A51_15.00kV_50pA_25.0nm_1.00µs_074.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_15.00kV_50pA_25.0nm_1.00µs_074.tif,6144,4376,24.9807,24.9807,153.48142080000002,109.3155432,fei:Scan.PixelWidth,
A51_15.00kV_50pA_28.1nm_1.00µs_075.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_15.00kV_50pA_28.1nm_1.00µs_075.tif,6144,4376,28.1033,28.1033,172.6666752,122.9800408,fei:Scan.PixelWidth,
A51_15.00kV_50pA_28.1nm_400.00ns_076.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_15.00kV_50pA_28.1nm_400.00ns_076.tif,6144,4376,28.1033,28.1033,172.6666752,122.9800408,fei:Scan.PixelWidth,
A51_20.00kV_0.10nA_28.1nm_400.00ns_078.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_20.00kV_0.10nA_28.1nm_400.00ns_078.tif,6144,4376,28.1033,28.1033,172.6666752,122.9800408,fei:Scan.PixelWidth,
A51_20.00kV_0.20nA_28.1nm_400.00ns_079.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_20.00kV_0.20nA_28.1nm_400.00ns_079.tif,6144,4376,28.1033,28.1033,172.6666752,122.9800408,fei:Scan.PixelWidth,
A51_20.00kV_0.40nA_28.1nm_400.00ns_080.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_20.00kV_0.40nA_28.1nm_400.00ns_080.tif,6144,4376,28.1033,28.1033,172.6666752,122.9800408,fei:Scan.PixelWidth,
A51_20.00kV_0.40nA_42.2nm_400.00ns_081.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A51_20.00kV_0.40nA_42.2nm_400.00ns_081.tif,6144,4376,42.1549,42.1549,258.9997056,184.4698424,fei:Scan.PixelWidth,
A52 - Site 2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52 - Site 2.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A52 - Site 2.tif' — fall back to measuring the scale bar.
A52 - Site 3.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52 - Site 3.tif,2048,1408,25.4492092618188,25.4492092618188,52.1199805682049,35.832486640640866,desc-xml:PixelWidth_um,
A52 - Site 4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52 - Site 4.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A52 - Site 4.tif' — fall back to measuring the scale bar.
A52 - Site 6.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52 - Site 6.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A52 - Site 6.tif' — fall back to measuring the scale bar.
A52 - Site 9.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52 - Site 9.tif,2048,1408,25.4492092618188,25.4492092618188,52.1199805682049,35.832486640640866,desc-xml:PixelWidth_um,
A52_10.00kV_0.10nA_16.9nm_200.00ns_031.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_10.00kV_0.10nA_16.9nm_200.00ns_031.tif,6144,4376,16.862,16.862,103.600128,73.788112,fei:Scan.PixelWidth,
A52_10.00kV_0.10nA_28.1nm_500.00ns_044.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_10.00kV_0.10nA_28.1nm_500.00ns_044.tif,6144,4376,28.1033,28.1033,172.6666752,122.9800408,fei:Scan.PixelWidth,
A52_10.00kV_0.10nA_33.7nm_200.00ns_032.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_10.00kV_0.10nA_33.7nm_200.00ns_032.tif,6144,4376,33.724,33.724,207.200256,147.576224,fei:Scan.PixelWidth,
A52_10.00kV_0.20nA_28.1nm_500.00ns_046.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_10.00kV_0.20nA_28.1nm_500.00ns_046.tif,6144,4376,28.1033,28.1033,172.6666752,122.9800408,fei:Scan.PixelWidth,
A52_10.00kV_0.40nA_33.7nm_200.00ns_033.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_10.00kV_0.40nA_33.7nm_200.00ns_033.tif,6144,4376,33.724,33.724,207.200256,147.576224,fei:Scan.PixelWidth,
A52_10.00kV_50pA_16.9nm_200.00ns_030.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_10.00kV_50pA_16.9nm_200.00ns_030.tif,6144,4376,16.862,16.862,103.600128,73.788112,fei:Scan.PixelWidth,
A52_10.00kV_50pA_33.7nm_200.00ns_029.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_10.00kV_50pA_33.7nm_200.00ns_029.tif,6144,4376,33.724,33.724,207.200256,147.576224,fei:Scan.PixelWidth,
A52_15.00kV_0.10nA_16.9nm_1.00µs_026.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_15.00kV_0.10nA_16.9nm_1.00µs_026.tif,6144,4376,16.862,16.862,103.600128,73.788112,fei:Scan.PixelWidth,
A52_15.00kV_0.10nA_33.7nm_1.00µs_027.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_15.00kV_0.10nA_33.7nm_1.00µs_027.tif,6144,4376,33.724,33.724,207.200256,147.576224,fei:Scan.PixelWidth,
A52_15.00kV_0.10nA_33.7nm_200.00ns_023.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_15.00kV_0.10nA_33.7nm_200.00ns_023.tif,1536,1094,33.724,33.724,51.800064,36.894056,fei:Scan.PixelWidth,
A52_15.00kV_50pA_33.7nm_1.00µs_028.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_15.00kV_50pA_33.7nm_1.00µs_028.tif,6144,4376,33.724,33.724,207.200256,147.576224,fei:Scan.PixelWidth,
A52_20.00kV_0.10nA_28.1nm_500.00ns_043.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_20.00kV_0.10nA_28.1nm_500.00ns_043.tif,6144,4376,28.1033,28.1033,172.6666752,122.9800408,fei:Scan.PixelWidth,
A52_20.00kV_0.20nA_28.1nm_25.00ns_040.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_20.00kV_0.20nA_28.1nm_25.00ns_040.tif,6144,4376,28.1033,28.1033,172.6666752,122.9800408,fei:Scan.PixelWidth,
A52_20.00kV_0.20nA_28.1nm_25.00ns_041.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_20.00kV_0.20nA_28.1nm_25.00ns_041.tif,6144,4376,28.1033,28.1033,172.6666752,122.9800408,fei:Scan.PixelWidth,
A52_20.00kV_0.20nA_28.1nm_500.00ns_042.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_20.00kV_0.20nA_28.1nm_500.00ns_042.tif,6144,4376,28.1033,28.1033,172.6666752,122.9800408,fei:Scan.PixelWidth,
A52_20.00kV_0.40nA_16.9nm_200.00ns_035.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_20.00kV_0.40nA_16.9nm_200.00ns_035.tif,6144,4376,16.862,16.862,103.600128,73.788112,fei:Scan.PixelWidth,
A52_20.00kV_0.40nA_28.1nm_25.00ns_038.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_20.00kV_0.40nA_28.1nm_25.00ns_038.tif,6144,4376,28.1033,28.1033,172.6666752,122.9800408,fei:Scan.PixelWidth,
A52_20.00kV_0.40nA_28.1nm_25.00ns_039.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_20.00kV_0.40nA_28.1nm_25.00ns_039.tif,6144,4376,28.1033,28.1033,172.6666752,122.9800408,fei:Scan.PixelWidth,
A52_20.00kV_0.40nA_33.7nm_200.00ns_034.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_20.00kV_0.40nA_33.7nm_200.00ns_034.tif,6144,4376,33.724,33.724,207.200256,147.576224,fei:Scan.PixelWidth,
A52_20.00kV_0.40nA_45.0nm_200.00ns_036.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_20.00kV_0.40nA_45.0nm_200.00ns_036.tif,6144,4376,44.9653,44.9653,276.2668032,196.7681528,fei:Scan.PixelWidth,
A52_20.00kV_0.40nA_56.2nm_25.00ns_037.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A52_20.00kV_0.40nA_56.2nm_25.00ns_037.tif,6144,4376,56.2066,56.2066,345.3333504,245.9600816,fei:Scan.PixelWidth,
A53 - Site 2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A53 - Site 2.tif,2048,1408,25.4492092618188,25.4492092618188,52.1199805682049,35.832486640640866,desc-xml:PixelWidth_um,
A53 - Site 3.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A53 - Site 3.tif,2048,1408,25.4492092618188,25.4492092618188,52.1199805682049,35.832486640640866,desc-xml:PixelWidth_um,
A53 - Site 6.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A53 - Site 6.tif,2048,1408,25.4492092618188,25.4492092618188,52.1199805682049,35.832486640640866,desc-xml:PixelWidth_um,
A55 - Site 1.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A55 - Site 1.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A55 - Site 1.tif' — fall back to measuring the scale bar.
A55 - Site 2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A55 - Site 2.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A55 - Site 4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A55 - Site 4.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A56 - Site 1.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A56 - Site 1.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A56 - Site 2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A56 - Site 2.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A56 - Site 4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A56 - Site 4.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A56 - Site 5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A56 - Site 5.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A56 - Site 5.tif' — fall back to measuring the scale bar.
A60 - Site 2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A60 - Site 2.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A60 - Site 5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A60 - Site 5.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A61 - Site 1.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A61 - Site 1.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A61 - Site 2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A61 - Site 2.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A61 - Site 3.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A61 - Site 3.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A61 - Site 4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A61 - Site 4.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A74 - Site 14.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A74 - Site 14.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A74 - Site 15.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A74 - Site 15.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A74 - Site 7.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A74 - Site 7.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A74 - Site 8.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A74 - Site 8.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A75 - Site 12.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A75 - Site 12.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A75 - Site 16.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A75 - Site 16.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A75 - Site 2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A75 - Site 2.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A75 - Site 3.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A75 - Site 3.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A75 - Site 7.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A75 - Site 7.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A77 - Site 12.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A77 - Site 12.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A77 - Site 12.tif' — fall back to measuring the scale bar.
A77 - Site 18.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A77 - Site 18.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A77 - Site 18.tif' — fall back to measuring the scale bar.
A77 - Site 4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A77 - Site 4.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A77 - Site 5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A77 - Site 5.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A77 - Site 6 zoom v2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A77 - Site 6 zoom v2.tif,2048,1408,33.9293901787912,33.9293901787912,69.48739108616438,47.77258137173801,desc-xml:PixelWidth_um,
A77 - Site 6.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A77 - Site 6.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A77 - Site 7.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A77 - Site 7.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A78 - Site 3.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A78 - Site 3.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A78 - Site 3.tif' — fall back to measuring the scale bar.
A78 - Site 5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A78 - Site 5.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A78 - Site 5.tif' — fall back to measuring the scale bar.
A78 - Site 8.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A78 - Site 8.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A78 - Site 8.tif' — fall back to measuring the scale bar.
A82 - Site 1.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A82 - Site 1.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A82 - Site 2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A82 - Site 2.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A82 - Site 3.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A82 - Site 3.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A82 - Site 4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A82 - Site 4.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A82 - Site 5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A82 - Site 5.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A85 - Site 2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A85 - Site 2.tif,2048,1408,25.4492092618188,25.4492092618188,52.1199805682049,35.832486640640866,desc-xml:PixelWidth_um,
A86 - Site 2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A86 - Site 2.tif,2048,1408,25.4492092618188,25.4492092618188,52.1199805682049,35.832486640640866,desc-xml:PixelWidth_um,
